"date","FL152090005.Q","FL152090006.Q","FL152000005.Q","FL152000006.Q","FL154190005.Q","FL154190006.Q","LM152010005.Q","LM152010006.Q","FL154090005.Q","FL154090006.Q","FL153165105.Q","FL153165106.Q","FL153166000.Q","FL153166006.Q","FL154199005.Q","FL154199006.Q","LM155035015.Q","LM155035016.Q","LM155111005.Q","LM155111006.Q","LM162010005.Q","LM162010006.Q","FL154000025.Q","FL154000026.Q","LM153064105.Q","LM153064106.Q","LM153064175.Q","LM153064176.Q","LM154022005.Q","LM154022006.Q","LM154022075.Q","LM154022076.Q","FL594190045.Q","FL594190046.Q","LM152090205.Q","LM152090206.Q","FL153099005.Q","FL153099006.Q","FC152090005.Q","FC153064475.Q","FC154022375.Q","FC155035005.Q","FC152090045.Q","FA156012005.Q"
"1957:Q3",  1759281,529.14,  1928251,579.96,  168970, 50.82,  639377,192.30,  1288874,387.65,  105397, 31.70,  47971,14.43,  15602, 4.69,  414670,124.72, 167091,50.26,  57616,17.33,  195175, 58.70,  264952, 79.69,    9244, 2.78,  54976,16.54,   4010, 1.21,  211585, 63.64,  371022,111.59, 177911,53.51,   -1727,  -26335,   2413,    7434,   14761,  332482
"1957:Q2",  1761008,536.66,  1926835,587.19,  165827, 50.53,  630622,192.18,  1296213,395.01,  103039, 31.40,  47223,14.39,  15565, 4.74,  408017,124.34, 165862,50.55,  56743,17.29,  190649, 58.10,  290571, 88.55,    9960, 3.04,  52610,16.03,   3963, 1.21,  204498, 62.32,  367267,111.92, 176695,53.85,   37196,   17026,   1192,    7762,   11216,  328145
"1957:Q1",  1723812,532.39,  1884572,582.04,  160760, 49.65,  619052,191.19,  1265520,390.85,  100851, 31.15,  45242,13.97,  14667, 4.53,  401222,123.91, 162116,50.07,  55714,17.21,  189263, 58.45,  274211, 84.69,    9294, 2.87,  51600,15.94,   3781, 1.17,  197320, 60.94,  364547,112.59, 175504,54.20,   13160,  -13549,   2677,    7823,   16209,  323789
"1956:Q4",  1710652,534.76,  1870251,584.65,  159599, 49.89,  608073,190.09,  1262178,394.56,   98745, 30.87,  46580,14.56,  14274, 4.46,  394263,123.25, 159072,49.73,  54738,17.11,  187101, 58.49,  287754, 89.95,    9300, 2.91,  49060,15.34,   3644, 1.14,  190224, 59.46,  360826,112.80, 174269,54.48,   38023,   20946,    580,    4827,   11670,  319894
"1956:Q3",  1672629,534.08,  1827461,583.51,  154832, 49.44,  599569,191.44,  1227892,392.07,   96174, 30.71,  44978,14.36,  13680, 4.37,  390218,124.60, 155481,49.65,  53870,17.20,  183163, 58.48,  267405, 85.38,    8703, 2.78,  48602,15.52,   3522, 1.12,  185846, 59.34,  357937,114.29, 172714,55.15,   18496,   -5371,   2003,    7780,   14084,  313182
"1956:Q2",  1654132,536.10,  1805577,585.18,  151445, 49.08,  588163,190.62,  1217414,394.56,   93327, 30.25,  44281,14.35,  13837, 4.48,  383760,124.37, 151963,49.25,  52440,17.00,  178870, 57.97,  272443, 88.30,    9036, 2.93,  46872,15.19,   3249, 1.05,  181454, 58.81,  354354,114.84, 171136,55.46,   10298,   -8956,   1306,    8978,    8970,  308551
"1956:Q1",  1643835,541.42,  1790019,589.57,  146184, 48.15,  577329,190.15,  1212690,399.42,   90356, 29.76,  42251,13.92,  13577, 4.47,  375328,123.62, 150191,49.47,  51810,17.06,  177315, 58.40,  281568, 92.74,    8867, 2.92,  45534,15.00,   3281, 1.08,  176955, 58.28,  349606,115.15, 169564,55.85,   43100,   16945,   2309,    9701,   14145,  303616
"1955:Q4",  1600734,534.73,  1745160,582.98,  144426, 48.25,  565453,188.89,  1179707,394.08,   87936, 29.38,  42949,14.35,  13541, 4.52,  367383,122.73, 148099,49.47,  49971,16.69,  175816, 58.73,  265346, 88.64,    8144, 2.72,  43368,14.49,   3138, 1.05,  172553, 57.64,  343803,114.85, 167539,55.97,   20407,    1975,   1162,    8318,    8952,  299354
"1955:Q3",  1580327,535.51,  1719114,582.54,  138787, 47.03,  555200,188.14,  1163914,394.40,   85032, 28.81,  40543,13.74,  13212, 4.48,  360688,122.22, 146276,49.57,  48236,16.35,  173014, 58.63,  264068, 89.48,    7447, 2.52,  42276,14.33,   3068, 1.04,  168573, 57.12,  339575,115.07, 165892,56.21,   39329,   14266,   2175,   11261,   11627,  295107
"1955:Q2",  1540998,533.90,  1674424,580.13,  133426, 46.23,  540617,187.30,  1133807,392.82,   81697, 28.30,  38755,13.43,  12974, 4.50,  350860,121.56, 143051,49.56,  46706,16.18,  168027, 58.22,  249979, 86.61,    7270, 2.52,  40234,13.94,   2935, 1.02,  164591, 57.02,  336411,116.55, 164360,56.94,   35123,   21557,   1614,   10441,    1511,  288631
