DATE,TB3MS_CHG
1975-10-01,-0.7033333333333333
1976-01-01,-0.7100000000000000
1976-04-01,0.2400000000000000
1976-07-01,-0.0066666666666667
1976-10-01,-0.4766666666666667
1977-01-01,-0.0433333333333333
1977-04-01,0.2100000000000000
1977-07-01,0.6566666666666667
1977-10-01,0.6133333333333333
1978-01-01,0.2833333333333333
1978-04-01,0.0833333333333334
1978-07-01,0.8366666666666666
1978-10-01,1.2566666666666667
1979-01-01,0.8133333333333333
1979-04-01,-0.0066666666666666
1979-07-01,0.2966666666666666
1979-10-01,2.1700000000000000
1980-01-01,1.5100000000000000
1980-04-01,-3.7366666666666666
1980-07-01,-0.4633333333333334
1980-10-01,4.4600000000000000
1981-01-01,0.7766666666666667
1981-04-01,0.5166666666666667
1981-07-01,0.1466666666666666
